AH21 AIRFOIL
1.000000 .000000
.987538 .002722
.968425 .006733
.948902 .010579
.929064 .014224
.908971 .017653
.888669 .020866
.868193 .023869
.847567 .026670
.826811 .029280
.805948 .031710
.784992 .033966
.763952 .036055
.742838 .037989
.721663 .039776
.700440 .041418
.679171 .042920
.657860 .044287
.636514 .045525
.615139 .046638
.593741 .047627
.572324 .048495
.550890 .049244
.529442 .049877
.507985 .050396
.486527 .050802
.465077 .051097
.443642 .051275
.422225 .051335
.400835 .051279
.379486 .051105
.358201 .050813
.337005 .050399
.315931 .049860
.295028 .049194
.274364 .048402
.254029 .047480
.234133 .046432
.214815 .045266
.196241 .043998
.178587 .042645
.162010 .041224
.146625 .039759
.132496 .038274
.119627 .036793
.107968 .035329
.097438 .033890
.087930 .032481
.079334 .031104
.071544 .029758
.064463 .028442
.057999 .027152
.052074 .025884
.046622 .024633
.041585 .023398
.036921 .022172
.032599 .020944
.028588 .019708
.024861 .018458
.021392 .017189
.018146 .015890
.015096 .014548
.012218 .013157
.009498 .011711
.006990 .010179
.004795 .008513
.002983 .006673
.001598 .004634
.000617 .002404
.000267 .001232
.000000 .000000
.001080 -.002139
.002516 -.003874
.004399 -.005277
.006669 -.006365
.009237 -.007232
.011985 -.007996
.014829 -.008740
.017784 -.009464
.020874 -.010165
.024133 -.010835
.027603 -.011469
.031311 -.012067
.035280 -.012634
.039534 -.013177
.044095 -.013708
.048992 -.014237
.054266 -.014764
.059966 -.015288
.066154 -.015804
.072903 -.016310
.080296 -.016805
.088424 -.017286
.097387 -.017755
.107287 -.018212
.118226 -.018649
.130290 -.019058
.143547 -.019429
.158026 -.019753
.173692 -.020023
.190456 -.020232
.208177 -.020372
.226698 -.020439
.245859 -.020431
.265511 -.020353
.285531 -.020207
.305817 -.019998
.326297 -.019730
.346916 -.019406
.367636 -.019030
.388430 -.018606
.409278 -.018138
.430167 -.017628
.451084 -.017080
.472026 -.016494
.492988 -.015874
.513967 -.015223
.534959 -.014542
.555963 -.013833
.576976 -.013099
.597996 -.012339
.619027 -.011556
.640068 -.010752
.661119 -.009931
.682171 -.009096
.703222 -.008246
.724271 -.007381
.745317 -.006506
.766348 -.005627
.787345 -.004751
.808289 -.003887
.829160 -.003037
.849920 -.002209
.870524 -.001419
.890927 -.000692
.911078 -.000051
.930908 .000473
.950345 .000825
.969336 .000918
.987862 .000603
1.000000 .000000
