MH24 ©Martin Heppele	
1.000000	0.000000
0.996510	0.000330
0.986270	0.001530
0.969830	0.003940
0.947900	0.007710
0.921240	0.012740
0.890630	0.018700
0.856760	0.025020
0.819870	0.030890
0.779710	0.036010
0.736510	0.040640
0.690780	0.044820
0.643010	0.048480
0.593730	0.051610
0.543500	0.054150
0.492830	0.056060
0.442290	0.057280
0.392410	0.057790
0.343710	0.057550
0.296710	0.056550
0.251900	0.054760
0.209710	0.052190
0.170570	0.048830
0.134840	0.044710
0.102830	0.039880
0.074810	0.034420
0.051010	0.028420
0.031570	0.022000
0.016620	0.015390
0.006200	0.008830
0.000370	0.002740
0.000000	-0.002000
0.005650	-0.006110
0.016870	-0.010470
0.033220	-0.014600
0.054540	-0.018320
0.080740	-0.021540
0.111580	-0.024280
0.146810	-0.026620
0.185940	-0.028560
0.228550	-0.030110
0.274140	-0.031270
0.322220	-0.032000
0.372260	-0.032310
0.423740	-0.032240
0.476030	-0.031830
0.528570	-0.031060
0.580720	-0.029980
0.631910	-0.028560
0.681540	-0.026830
0.729040	-0.024730
0.773900	-0.022310
0.815550	-0.019410
0.853870	-0.015800
0.888910	-0.011900
0.920110	-0.008240
0.946930	-0.004960
0.969030	-0.002320
0.985790	-0.000660
0.996380	-0.000050
1.000000	0.000000
Thickness: 9.01%. 
Moment coefficient cm c/4 = -0.0279. 
Can be used at Reynoldsnumbers of 400'000 and above. 
Well suited for a flap of 15% chord length. 
Needs perfect construction methods (machined moulds recommended). 
Turbulators at 84% chord on the upper side and at 86% chord on the lower side should be used for Reynolds numbers between 500'000 and 1'000'000. 
