MH25 ©Martin Hepperle	
1.000000	0.000000
0.996320	0.000380
0.985620	0.001920
0.968770	0.005060
0.946640	0.009810
0.920080	0.015860
0.889780	0.022740
0.856350	0.029800
0.819910	0.036230
0.780180	0.041830
0.737370	0.046820
0.692020	0.051280
0.644600	0.055130
0.595640	0.058370
0.545690	0.060940
0.495270	0.062800
0.444920	0.063890
0.395190	0.064200
0.346590	0.063700
0.299630	0.062360
0.254800	0.060180
0.212560	0.057180
0.173290	0.053350
0.137390	0.048750
0.105160	0.043410
0.076880	0.037430
0.052790	0.030900
0.033020	0.023990
0.017740	0.016880
0.006970	0.009840
0.000810	0.003300
0.000000	-0.001780
0.005270	-0.006110
0.016290	-0.010750
0.032460	-0.015210
0.053650	-0.019260
0.079720	-0.022830
0.110470	-0.025910
0.145590	-0.028560
0.184660	-0.030810
0.227190	-0.032660
0.272730	-0.034080
0.320750	-0.035040
0.370760	-0.035550
0.422190	-0.035650
0.474460	-0.035350
0.526980	-0.034670
0.579120	-0.033610
0.630290	-0.032170
0.679900	-0.030370
0.727400	-0.028160
0.772230	-0.025560
0.813830	-0.022410
0.852100	-0.018450
0.887140	-0.014040
0.918500	-0.009820
0.945590	-0.005960
0.968080	-0.002810
0.985280	-0.000820
0.996230	-0.000060
1.000000	0.000000
Thickness: 9.98%. 
Moment coefficient cm c/4 = -0.0339. 
Can be used at Reynoldsnumbers of 400'000 and above. 
Well suited for a flap of 15% chord length. 
Needs perfect construction methods (machined moulds recommended). 
Turbulators at 83% chord on the upper side and at 84% chord on the lower side should be used for Reynolds numbers between 500'000 and 1'000'000. 
