MH 26 ©Martin Hepperle	
1.000000	0.000000
0.995970	0.000350
0.984580	0.002320
0.967180	0.006360
0.944860	0.012140
0.918400	0.019160
0.888350	0.026830
0.855240	0.034500
0.819110	0.041400
0.779660	0.047340
0.737110	0.052590
0.692010	0.057220
0.644810	0.061160
0.596040	0.064420
0.546230	0.066930
0.495940	0.068660
0.445700	0.069580
0.396040	0.069660
0.347500	0.068870
0.300560	0.067200
0.255730	0.064660
0.213460	0.061250
0.174140	0.056980
0.138170	0.051930
0.105840	0.046130
0.077460	0.039690
0.053250	0.032700
0.033360	0.025350
0.017960	0.017820
0.007080	0.010390
0.000840	0.003500
0.000000	-0.001870
0.005340	-0.006490
0.016480	-0.011480
0.032790	-0.016320
0.054140	-0.020780
0.080360	-0.024790
0.111230	-0.028320
0.146430	-0.031430
0.185530	-0.034110
0.228060	-0.036340
0.273540	-0.038100
0.321480	-0.039310
0.371410	-0.040000
0.422770	-0.040190
0.474970	-0.039940
0.527420	-0.039240
0.579490	-0.038120
0.630600	-0.036550
0.680150	-0.034580
0.727590	-0.032160
0.772380	-0.029300
0.813940	-0.025870
0.852160	-0.021630
0.887080	-0.016960
0.918160	-0.012370
0.944990	-0.007890
0.967440	-0.003990
0.984830	-0.001320
0.996070	-0.000140
1.000000	0.000000
Thickness: 10.99%. 
Moment coefficient cm c/4 = -0.0334. 
Can be used at Reynoldsnumbers of 500'000 and above. 
Well suited for a flap of 15% chord length. 
Needs perfect construction methods (machined moulds recommended). 
Turbulators at 83% chord on the upper side and at 84% chord on the lower side should be used for Reynolds numbers between 500'000 and 1'000'000. 
