MH91 © Martin Hepperle	
1.000000	0.000000
0.996380	0.000030
0.985600	0.000330
0.967960	0.001300
0.943910	0.003230
0.914010	0.006320
0.878940	0.010630
0.839410	0.016120
0.796150	0.022660
0.749870	0.030030
0.701300	0.037980
0.651080	0.046210
0.599840	0.054420
0.548170	0.062330
0.496620	0.069640
0.445720	0.076100
0.395960	0.081510
0.347780	0.085660
0.301640	0.088420
0.257960	0.089640
0.217120	0.089200
0.179390	0.086960
0.144950	0.082870
0.113990	0.076990
0.086550	0.069390
0.062630	0.060320
0.042390	0.050210
0.026070	0.039260
0.013570	0.027760
0.004910	0.016280
0.000310	0.005410
0.000000	-0.004010
0.005520	-0.011830
0.017440	-0.019110
0.034660	-0.026340
0.056760	-0.033310
0.083390	-0.039850
0.114200	-0.045790
0.148850	-0.050950
0.187030	-0.055220
0.228340	-0.058520
0.272430	-0.060720
0.318980	-0.061790
0.367550	-0.061870
0.417570	-0.061020
0.468530	-0.059200
0.519970	-0.056480
0.571360	-0.053030
0.622060	-0.048950
0.671490	-0.044220
0.719220	-0.038850
0.764880	-0.033010
0.808060	-0.026960
0.848270	-0.020960
0.885010	-0.015330
0.917740	-0.010310
0.945890	-0.006160
0.968820	-0.003110
0.985860	-0.001180
0.996420	-0.000250
1.000000	0.000000
Thickness: 15% 
Camber: 1.6% 
Moment coefficient of cm c/4 close to zero. 
