MH93 © Martin Hepperle	
1.000000	0.000000
0.996300	0.000000
0.985290	0.000230
0.967260	0.001130
0.942690	0.003050
0.912180	0.006190
0.876450	0.010670
0.836220	0.016420
0.792300	0.023330
0.745450	0.031180
0.696370	0.039660
0.645790	0.048470
0.594330	0.057250
0.542580	0.065690
0.491110	0.073480
0.440410	0.080330
0.390950	0.085990
0.343170	0.090280
0.297470	0.093020
0.254250	0.094100
0.213870	0.093390
0.176590	0.090770
0.142550	0.086220
0.111940	0.079840
0.084800	0.071700
0.061160	0.062090
0.041170	0.051440
0.025040	0.039980
0.012760	0.028020
0.004330	0.016140
0.000000	0.004920
0.000050	-0.004750
0.006030	-0.012920
0.018420	-0.020710
0.036060	-0.028470
0.058540	-0.035990
0.085480	-0.043070
0.116550	-0.049550
0.151410	-0.055210
0.189750	-0.059970
0.231150	-0.063710
0.275250	-0.066290
0.321760	-0.067720
0.370220	-0.068090
0.420060	-0.067450
0.470760	-0.065760
0.521890	-0.063090
0.572900	-0.059580
0.623170	-0.055330
0.672130	-0.050310
0.719360	-0.044500
0.764590	-0.038060
0.807400	-0.031280
0.847380	-0.024470
0.884030	-0.018000
0.916810	-0.012180
0.945120	-0.007340
0.968300	-0.003730
0.985600	-0.001430
0.996350	-0.000300
1.000000	0.000000
Thickness: 16.0% 
Max. camber: 1.6% 
Moment coefficient of cm c/4 close to zero. 
The stagnation point moves between x/c=0.02 and x/c=0.07. 
